但	334	205
如果	291	174
因为	241	151
但是	190	128
而	177	425
并	163	243
也	143	937
为了	115	71
由于	113	70
并且	109	50
却	105	185
甚至	96	66
以及	96	125
而且	86	55
因此	80	36
所以	57	33
其中	56	73
之后	52	75
还	47	540
为	45	579
同时	45	69
然而	40	25
又	40	218
即使	40	48
不过	40	57
如	38	68
使	37	133
然后	37	15
及	36	129
更	35	373
才	29	220
除了	28	60
尤其	26	24
因	25	76
若	25	15
包括	23	69
导致	22	46
尽管	20	50
不管	19	20
虽然	19	174
比如	18	11
无论	18	33
可是	17	20
以后	16	35
或者	16	73
造成	15	87
只要	15	50
例如	15	11
让	14	301
于是	14	13
因而	14	12
且	13	21
表示	12	101
或是	12	26
以便	11	9
还有	11	49
希望	10	133
原因	10	52
反而	10	13
另外	9	28
使得	9	29
一旦	9	14
之前	9	30
否则	8	19
随后	8	5
目的	8	26
除非	7	17
以来	7	29
则	7	83
既然	7	10
加上	7	57
后来	7	30
从而	7	9
理由	6	23
不仅	6	89
以免	6	4
即	6	36
当	5	93
当时	5	69
譬如	5	4
即便	5	2
要求	5	93
此外	5	7
比起	4	5
竟然	4	19
以前	4	34
仍然	4	63
现在	4	145
企图	4	10
接下来	4	1
随着	4	40
之所以	4	9
必须	4	101
引起	4	28
与此同时	3	3
随即	3	5
主要	3	91
倘若	3	2
结果	3	79
最后	3	56
那么	3	86
假如	3	2
可能	3	271
不论	3	16
至少	3	43
以致	3	1
进而	3	8
哪怕	2	2
虽	2	28
如今	2	34
促进	2	19
相对	2	16
引发	2	19
接着	2	10
事实上	2	7
特别	2	66
尔后	2	5
何况	2	2
只不过	2	4
致使	2	3
证明	2	20
目前	1	143
有赖于	1	1
此前	1	9
例外	1	1
难怪	1	3
目标	1	42
经过	1	43
至于	1	8
之外	1	49
与其	1	13
实际上	1	20
过去	1	89
原来	1	14
针对	1	31
当年	1	11
预计	1	18
来自	1	49
其后	1	1
用于	1	17
例子	1	4
仅	1	32
一般来说	1	0
或许	1	32
其实	1	35
居然	1	8
曾经	1	30
基于	1	12
不如	1	10
当然	1	33
其次	1	5
亦	1	14
举凡	1	1
原先	1	7
以至	1	2
反倒	1	6
宣布	1	30
